T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
24.5,32.6,19.5,1010.7,65,6.3,3,7.6,284.79583333333335
23.1,32.8,16.1,1011.9,62,6.3,1.3,5.4,219.72083333333333
21.8,32.2,14.4,1012.7,59,5.5,1.9,7.6,182.1875
16.4,30.7,7.5,1013.7,59,5.8,1.1,3.5,154.03750000000002
18.5,29.5,9,1014.3,66,5.5,1.7,9.4,223.20833333333334
19.9,29.7,11.6,1014.4,67,5.5,0.4,1.9,200.64583333333337
20.6,34.2,9.1,1013.2,50,5.5,0.2,1.9,236.82499999999996
19.2,28.9,11,1015.6,63,6.3,0.7,3.5,108.0
19.5,29.8,10.7,1014.9,63,6.3,1.1,5.4,107.625
19.9,30.4,11,1015.5,61,6.3,1.5,3.5,125.89166666666667
19.8,31.8,9.6,1014.9,50,6.6,2.2,5.4,181.01250000000005
20.5,31.1,11.1,1014.9,55,5.5,0.4,1.9,152.55416666666667
22.3,30.8,11.7,1013.6,61,5.5,0.4,3.5,319.7375
23.5,31.8,15.8,1013.4,61,5.5,1.3,3.5,332.7083333333333
23.8,31.9,16.3,1012.9,61,5.5,0.9,5.4,279.59999999999997
24.1,32.6,16.3,1012.2,56,5.5,1.1,3.5,179.11666666666667
21.5,31.4,13.6,1012.5,55,6.3,2.2,5.4,54.791666666666664
21.4,31.7,12.1,1011.5,58,6.3,1.7,7.6,93.375
22.8,32.7,14.1,1010.9,57,6.6,2.6,5.4,103.0
24.3,33,16.6,1010.5,55,6.3,2.8,5.4,132.20833333333334
24.8,34.1,17.1,1009.7,50,5.5,2.2,3.5,127.70833333333333
23.9,33.1,15.6,1009.2,55,6,3.3,51.9,109.33333333333333
22.3,33.4,9.9,1011.6,41,6.3,1.5,5.4,56.458333333333336
23.6,34,12.2,1011.8,42,6.3,2,5.4,135.83333333333334
24.1,34.9,13.1,1012.4,41,6.3,2.4,5.4,122.5
23.8,33.8,11.6,1013.6,38,6.9,2.2,5.4,69.66666666666667
23.6,34.9,14,1013.3,34,6.3,2.8,5.4,79.83333333333333
23.5,33.9,11.7,1013.4,30,6.3,3.5,9.4,62.708333333333336
23.9,33.7,13.5,1013.3,37,6.3,2.2,7.6,21.208333333333332
23.4,34.1,13.5,1013.9,38,6.3,0.7,5.4,1.9166666666666667
22.9,34.6,11.6,1013.6,28,6.3,2.2,9.4,1.8333333333333333
24.7,34.9,13.3,1012.9,37,6.3,1.5,5.4,105.83333333333333
26.2,36.7,15,1012.4,38,6.3,1.9,5.4,117.58333333333333
26.7,36,16.1,1010.6,32,6.3,1.5,5.4,122.70833333333333
25.9,34.9,15.3,1010.6,37,6.9,3.3,16.5,111.95833333333333
25.6,35,15.3,1010.9,40,5.8,2.4,7.6,59.208333333333336
27.3,36,17.5,1010.5,39,6.9,1.5,3.5,77.20833333333333
25.1,35,14.8,1009.7,25,6.3,3.9,7.6,98.70833333333333
25.2,34.5,13.7,1010.8,26,6.9,3.1,9.4,123.70833333333333
26.1,35.2,13,1008.8,31,6.9,2,5.4,64.79166666666667
